term,AC3Solver_binary_FE0,AC3Solver_binary_FE1,AC3Solver_dir_expected_frac_FE0,AC3Solver_dir_expected_frac_FE1,AC3Solver_dir_info_FE0,AC3Solver_dir_info_FE1,AC3Solver_dir_target_frac_FE0,AC3Solver_dir_target_frac_FE1,AC3Solver_inv_overlap_FE0,AC3Solver_inv_overlap_FE1,AC3Solver_overlap_FE0,AC3Solver_overlap_FE1,BacktrackingSolver_binary_FE0,BacktrackingSolver_binary_FE1,BacktrackingSolver_dir_expected_frac_FE0,BacktrackingSolver_dir_expected_frac_FE1,BacktrackingSolver_dir_info_FE0,BacktrackingSolver_dir_info_FE1,BacktrackingSolver_dir_target_frac_FE0,BacktrackingSolver_dir_target_frac_FE1,BacktrackingSolver_inv_overlap_FE0,BacktrackingSolver_inv_overlap_FE1,BacktrackingSolver_overlap_FE0,BacktrackingSolver_overlap_FE1,ForwardCheckingSolver_binary_FE0,ForwardCheckingSolver_binary_FE1,ForwardCheckingSolver_dir_expected_frac_FE0,ForwardCheckingSolver_dir_expected_frac_FE1,ForwardCheckingSolver_dir_info_FE0,ForwardCheckingSolver_dir_info_FE1,ForwardCheckingSolver_dir_target_frac_FE0,ForwardCheckingSolver_dir_target_frac_FE1,ForwardCheckingSolver_inv_overlap_FE0,ForwardCheckingSolver_inv_overlap_FE1,ForwardCheckingSolver_overlap_FE0,ForwardCheckingSolver_overlap_FE1
(Intercept),-23132.386545353584,NA,2185.9137081807353,1966.1615701772891,11126.094792321674,9057.767791289716,2156.481310570251,2210.186728940625,15222.112333933135,35386155295.87948,-413.65351402094456,-753.2739659995536,11616.782285556486,NA,6571.180434244254,6609.579108479027,27283.716711673304,27283.716711673304,6613.331765073634,6571.171490284241,3701.068738021113,70535365497.77274,1616.642400843253,1616.642400843253,-23371.127191275402,NA,2495.447425851379,2600.3931176091096,13056.647881223316,12170.4006971557,2602.079602289481,2477.8492699123244,17183.265219383742,41503972470.63719,-703.679862344361,-553.7137517033511
log(log(trace_laplacian + 1) + 1),0.3682352543050697,NA,-0.005122406497739729,-0.11808402186924669,-0.22340658335293698,-0.38829175482391276,-0.07518847846831904,-0.022789527419751994,-0.0364906892981619,-0.9031801929270855,0.08680448705593935,0.07809475841032865,0.7119892862654454,NA,-0.04541325345282655,-0.07371818009868364,-0.36473108988031794,-0.36473108988031794,-0.10228983593298772,-0.04541299306592129,-0.12867560802686806,-1.7423216824582444,0.3476931438721004,0.3476931438721004,0.40236487711808133,NA,0.008264528871977194,-0.06289007553395358,-0.17795839753275833,-0.05097873894596787,-0.02595948282924735,-0.10565673514698556,-0.03698036585553184,-1.1012471705389992,0.08876019759020999,0.09309474756909569
log(trace_laplacian + 1),0.04993733028903132,NA,0.009742990008703295,-0.008622212133162504,-0.020112094896492252,-0.0447545762293762,-0.0015508096079141314,0.006964113191569284,-0.0030181779014747806,-0.041763025194103395,0.0162603432253813,0.014079399914451951,0.10009497629571477,NA,0.016666300785492943,0.01224865168265595,-0.027503417178108735,-0.027503417178108735,0.00780573942010624,0.016666331027780618,-0.011901235239140617,-0.08005455590752725,0.0692428252291414,0.0692428252291414,0.05444442610020251,NA,0.012867605938406959,0.001528398170330729,-0.012392540759399794,0.005497875155253099,0.007569459592286424,-0.005351629206295155,-0.003110657634007864,-0.05072284593431945,0.016121502950763745,0.017103731153515263
trace_laplacian,7.292659104799515e-5,NA,6.242747683622795e-4,5.870028013237972e-4,2.774707048597393e-4,2.434796857136329e-4,6.056443090100179e-4,6.208458233157536e-4,-1.0391257720395604e-10,-4.3424248687949404e-11,9.86408079175365e-5,8.103545816864045e-5,1.8430573613064733e-4,NA,0.0012727837605177358,0.0012707930158223218,5.561660044331515e-4,5.561660044331515e-4,0.0012678685772801023,0.0012727835846310968,-4.395040783320439e-10,-7.806566609592478e-11,3.6045187080036896e-4,3.6045187080036896e-4,8.045179736212542e-5,NA,6.826031900500764e-4,6.693676099581365e-4,3.129116571457124e-4,3.233350105276547e-4,6.794681428470215e-4,6.545276655599624e-4,-1.1838535802489957e-10,-5.2596901414213457e-11,9.223859728797535e-5,9.895152741743028e-5
I(trace_laplacian^2),4.5055791560243095e-8,NA,5.299694034035346e-6,6.153687905498981e-6,1.1768940588176586e-6,1.306778145860758e-6,5.8518207518688585e-6,5.4434144323554626e-6,5.1126272730541184e-20,-2.0349794748600187e-20,1.2975348400623532e-7,1.32867130894144e-7,1.1206091177627569e-7,NA,1.0379222262905284e-5,1.0611473094685356e-5,2.157147974052612e-6,2.157147974052612e-6,1.0839112571512749e-5,1.0379221283027343e-5,9.744199822939427e-19,-3.35041533941554e-20,-4.7298461296552954e-8,-4.7298461296552954e-8,4.947044716558431e-8,NA,5.639535728192938e-6,6.229829998249517e-6,1.2250978038932861e-6,1.0961647282193436e-6,5.936218571807938e-6,6.545660247000653e-6,7.222665800323532e-20,-2.3314791370563244e-20,1.4175875254590322e-7,1.4045080468723814e-7
I(1/(trace_laplacian + 0.001)),-23.47464080217235,NA,1.9605995859927068,1.565690283562144,10.006773344744325,7.546683396845496,1.8345852239902003,1.9430587735934046,15.37078670510555,35407561.99955631,-0.3633735033882124,-0.7765554597723029,14.117607741275462,NA,6.156362683561343,6.139324940599838,25.418369594933196,25.418369594933196,6.106728540665347,6.156354416046976,3.533449123440772,69814770.87859173,2.1741199712444903,2.1741199712444903,-23.67585775433987,NA,2.260104072027086,2.2657715419220565,12.026194265492745,11.482220894924138,2.313527475431003,2.0799350341475944,17.39013370939236,40734949.54200792,-0.7238462768389001,-0.5509723394350842
log(log(trace_laplacian + 1) + 1):log(trace_laplacian + 1),0.017332320023522384,NA,0.005237110595564781,-0.002118329444987601,-0.005617301840887747,-0.014422110012655186,7.461570671323371e-4,0.004097469843184585,-8.615871172964352e-4,-0.010014396569267867,0.00640788751972919,0.005461236938036285,0.03675986053927037,NA,0.00917991198514773,0.007501597258383144,-0.006394478848522917,-0.006394478848522917,0.005786292183217991,0.00917992276699958,-0.0036293677970779805,-0.01884145870812955,0.027315950245552858,0.027315950245552858,0.018931790160107986,NA,0.006696040320331776,0.0021719771462685045,-0.002525762945359816,0.003711772850118025,0.004483623428631439,-6.636105128676575e-4,-8.841586917586772e-4,-0.011912869733427997,0.006274730467754837,0.006686765658637082
log(log(trace_laplacian + 1) + 1):trace_laplacian,3.35579602558984e-5,NA,3.483417328459868e-4,3.342474760759908e-4,1.4800757067291048e-4,1.350950040653947e-4,3.420000626571381e-4,3.468209471463999e-4,-3.3297790034589845e-11,-1.3423376357958472e-11,4.797948793007985e-5,3.978408558098316e-5,8.60205035636356e-5,NA,7.023196825929378e-4,7.021305783663802e-4,2.9376592641391545e-4,2.9376592641391545e-4,7.020834488635498e-4,7.023195865852572e-4,-1.4174715288246061e-10,-2.3709424461829675e-11,1.665827152748683e-4,1.665827152748683e-4,3.7029044854100944e-5,NA,3.8038391000920783e-4,3.7638019928505124e-4,1.6558169384814345e-4,1.677189465499438e-4,3.7940596412289413e-4,3.7073795494475717e-4,-3.7664847901502334e-11,-1.5938136412845426e-11,4.521161328620587e-5,4.8347219497979515e-5
log(log(trace_laplacian + 1) + 1):I(trace_laplacian^2),2.12013171831853e-8,NA,3.0032723317843307e-6,3.5081572212750315e-6,6.205688679282327e-7,6.944607823121204e-7,3.327601040132792e-6,3.086548123272486e-6,2.052350411394235e-20,-6.324793535215434e-21,6.25484108905686e-8,6.581329715197972e-8,5.277449289339491e-8,NA,5.8353957467402175e-6,5.96627496694461e-6,1.1321251085898834e-6,1.1321251085898834e-6,6.096347407544392e-6,5.8353952598285625e-6,3.2755639498354854e-19,-1.0193208561875082e-20,-6.024227851768408e-8,-6.024227851768408e-8,2.3265515933278632e-8,NA,3.1925761061726694e-6,3.5373538492945214e-6,6.441902957565866e-7,5.731728823444732e-7,3.3650111639426265e-6,3.7257802538605e-6,2.886235231441439e-20,-7.066169943356064e-21,6.982211229768672e-8,6.85457823907012e-8
log(log(trace_laplacian + 1) + 1):I(1/(fiedler_value + 0.001)),3.586133248466714e-4,NA,8.768444741878678e-6,-8.05229810702179e-5,-1.7480948493738983e-4,-3.0838003421202034e-4,-4.7978426942640374e-5,-4.359987610306035e-6,-3.7646803228499e-5,-0.019107258111506823,8.162147585814077e-5,7.705902209686697e-5,5.923689225251258e-4,NA,-2.3358556010154265e-5,-4.548650164541162e-5,-2.905086541424342e-4,-2.905086541424342e-4,-6.886196501481685e-5,-2.3358329145675104e-5,-1.1276736364999255e-4,-0.03588660269986644,3.120641480055311e-4,3.120641480055311e-4,3.870772416088599e-4,NA,2.1403333484314865e-5,-3.706840245887377e-5,-1.384558180762422e-4,-3.120714131783312e-5,-6.573012931175686e-6,-7.078375790175888e-5,-3.891380865595796e-5,-0.018194217513860432,8.695373315864594e-5,8.974449857881349e-5
log(log(trace_laplacian + 1) + 1):I(1/(trace_laplacian + 0.001)),-13.03766551537152,NA,1.18260292997009,1.334053162994734,6.337328341626129,5.849854339516999,1.3348535881442647,1.2394968475298165,7.991271834004278,11378349.187349046,-0.31713034306950516,-0.5976589702826854,2.822397678010398,NA,3.602728779187474,3.6930119909029684,14.93325378806891,14.93325378806891,3.762477677834636,3.6027237661258615,2.0183640068715145,22233633.270468175,0.9657250391385375,0.9657250391385375,-13.318697418565218,NA,1.3128616352369038,1.5366181537428463,7.170778609195835,6.326691603705499,1.4501442893348373,1.570598207082534,9.017498340579126,12845662.3184091,-0.5919784281029912,-0.4891410365569558
log(trace_laplacian + 1):trace_laplacian,9.473868861682177e-6,NA,1.2663740837845117e-4,1.2505204567968297e-4,5.060073077844463e-5,4.79664448162841e-5,1.2660651394149358e-4,1.26688276297415e-4,-4.913190151650956e-12,-1.9159332467732195e-12,1.4949899811007158e-5,1.2290194301922485e-5,2.5188950806030202e-5,NA,2.5452011371949866e-4,2.5524843884170415e-4,9.914485867042347e-5,9.914485867042347e-5,2.559226854734267e-4,2.545200803589719e-4,-2.2269582263767608e-11,-3.3960708621261905e-12,4.882250177599378e-5,4.882250177599378e-5,1.0477457003598931e-5,NA,1.3767850198236466e-4,1.387060156681238e-4,5.585718662597948e-5,5.5606837827934074e-5,1.3851894485624152e-4,1.3775576772065271e-4,-5.5248419311007285e-12,-2.27120919100648e-12,1.3915564034847904e-5,1.4893442862982434e-5
log(trace_laplacian + 1):I(trace_laplacian^2),6.141555235489199e-9,NA,1.0958407916250335e-6,1.2916390081626355e-6,2.0759171127282225e-7,2.3408996642005852e-7,1.2220161831856843e-6,1.12823487676664e-6,4.0790826951864765e-21,-9.139038100235606e-22,1.9231649617990653e-8,2.048606770962293e-8,1.5519309028079093e-8,NA,2.1203772060294625e-6,2.169703377918625e-6,3.769065315192153e-7,3.769065315192153e-7,2.2187156645938685e-6,2.120377060947745e-6,4.794177591617817e-20,-1.4744286773471734e-21,-2.999578327461763e-8,-2.999578327461763e-8,6.739598751388273e-9,NA,1.1630200547058732e-6,1.2970101496278406e-6,2.148800243832472e-7,1.9022211594449776e-7,1.2297607286958877e-6,1.3694457354369993e-6,5.598457456332723e-21,-1.0171733342552934e-21,2.1542943578508575e-8,2.1018837731136806e-8
log(trace_laplacian + 1):I(1/(fiedler_value + 0.001)),4.847225069364029e-5,NA,8.453186413620372e-6,-8.701526026098483e-6,-1.856528186042125e-5,-4.057917156243323e-5,-2.1957953261415057e-6,6.0258633611411874e-6,-3.030539923451315e-6,-0.002901776958459565,1.5779410054526256e-5,1.376045406510388e-5,9.028756982547008e-5,NA,1.2320401209949443e-5,8.206455367941648e-6,-2.6092512202311056e-5,-2.6092512202311056e-5,3.809458987406736e-6,1.2320433692851626e-5,-1.1521295211066074e-5,-0.005271349985961041,6.582643071979768e-5,6.582643071979768e-5,5.2600304610323664e-5,NA,1.1556974701771493e-5,7.779086432210408e-7,-1.156660465243127e-5,5.105408094121436e-6,6.465776559770288e-6,-5.805258617356975e-6,-3.1318549809552035e-6,-0.0027789181777557663,1.570085353471642e-5,1.6611635211829243e-5
log(trace_laplacian + 1):I(1/(trace_laplacian + 0.001)),-4.691492300850124,NA,0.474412766314684,0.68360033989732,2.6318936301145612,2.8476914688200416,0.622879265086002,0.5175381869853568,2.600873238237173,1749643.1633701052,-0.1957779996983539,-0.29486956003469084,-0.8942813066954305,NA,1.383151020554056,1.4538267370902767,5.741539209397023,5.741539209397023,1.5184706356519693,1.383148954568405,1.0168825521605749,3430826.5691892896,-0.004663979737812484,-0.004663979737812484,-4.853018964124376,NA,0.5023930424375589,0.6768460100474666,2.798584125230983,2.2575607173067263,0.5960703701736763,0.747952258757084,2.9068066866746993,1980294.6576410646,-0.305059467939331,-0.2722831900073406
