term,BacktrackingSolver_overlap_FE1,ForwardCheckingSolver_overlap_FE1,AC3Solver_overlap_FE1,BacktrackingSolver_inv_overlap_FE1,ForwardCheckingSolver_inv_overlap_FE1,AC3Solver_inv_overlap_FE1,BacktrackingSolver_binary_FE0,ForwardCheckingSolver_binary_FE0,AC3Solver_binary_FE0,BacktrackingSolver_overlap_FE0,ForwardCheckingSolver_overlap_FE0,AC3Solver_overlap_FE0,BacktrackingSolver_inv_overlap_FE0,ForwardCheckingSolver_inv_overlap_FE0,AC3Solver_inv_overlap_FE0,BacktrackingSolver_dir_expected_frac_FE1,ForwardCheckingSolver_dir_expected_frac_FE1,AC3Solver_dir_expected_frac_FE1,BacktrackingSolver_dir_target_frac_FE1,ForwardCheckingSolver_dir_target_frac_FE1,AC3Solver_dir_target_frac_FE1,BacktrackingSolver_dir_info_FE1,ForwardCheckingSolver_dir_info_FE1,AC3Solver_dir_info_FE1,BacktrackingSolver_dir_expected_frac_FE0,ForwardCheckingSolver_dir_expected_frac_FE0,AC3Solver_dir_expected_frac_FE0,BacktrackingSolver_dir_target_frac_FE0,ForwardCheckingSolver_dir_target_frac_FE0,AC3Solver_dir_target_frac_FE0,BacktrackingSolver_dir_info_FE0,ForwardCheckingSolver_dir_info_FE0,AC3Solver_dir_info_FE0
(Intercept),724.3000460716942,-1074.045723,-385.2141823,75871377147,38954618246.83857,7687463532.771473,13778.988324517224,50565.39505770334,-7692.864317,1618.8943421646234,662.8479558307271,-186.1106723,13762.737089849232,23380.715683403792,25795.58108659739,4460.965753805403,947.9581198,-1139.29603,5490.094958,1416.5581133132512,-120.1587893,30195.002075191718,9731.260003449466,1795.2753790650968,4866.929804,4379.021885,-1001.913227,4838.143063120193,4585.212224691147,-508.9916393,22683.71703319929,19377.45827745499,292.37631617310797
log(log(trace_laplacian + 1) + 1),0.2459728067553776,0.096417426,0.020759548,-1.817411381,-1.039225395,-0.207451688,0.6741334261805813,0.6708341296916117,0.085559543,0.30328739706133623,0.17131751968994732,0.010709599752124096,-0.084510103,-0.064275293,0.061959561062655794,0.030174584153023754,0.028759312,0.077623668,-0.051807296,0.025960794885998305,0.025002952699344626,-0.219355251,-0.044257637,0.012070830748633831,0.020820066,-0.221037385,0.063488418,-0.00231179,-0.019685266,0.051536070911206176,-0.161969155,-0.101516203,0.039458452
log(trace_laplacian + 1),0.051599660680896116,0.017344284516642317,0.003504718,-0.082626508,-0.048126548,-0.009675653,0.093508624,0.098807623,0.011321294685515895,0.05966366,0.032767639773053234,0.001806255,-0.007330306,-0.005409479,0.004891635,0.026084114954985246,0.013771005827024774,0.014304043081722837,0.014870286836281795,0.013672604999669394,0.00700973,-0.005184763,0.004945632,0.005219624,0.024659102024776565,-0.018274257,0.011469739,0.021347768222964393,0.014231104,0.010619326076627415,-8.27E-05,0.004338367,0.008405749
trace_laplacian,3.161987639224238e-4,9.96447974811178e-5,1.819715614476337e-5,-7.62E-11,-5.14E-11,-1.12E-11,1.64800256180858e-4,1.9209055932703845e-4,1.4794977935994995e-5,3.059804588217799e-4,1.9236548620603822e-4,9.09409519804879e-6,-2.69E-10,-1.98E-10,6.656991541785939e-11,0.00120226,5.785482636723901e-4,1.6089917017017859e-4,0.001216641,5.999585783535155e-4,2.0772055358452446e-4,5.832570707916022e-4,2.948473147792583e-4,1.0473139721547698e-4,0.001193465,9.307296369647578e-4,1.1815647353613242e-4,0.001204553,9.862071449391401e-4,1.774262490694101e-4,5.49110780579006e-4,4.574745889685872e-4,8.930026945748432e-5
I(trace_laplacian^2),3.756001332327944e-8,1.5873275475514875e-7,3.220148181149399e-8,-2.93E-20,-2.42E-20,-5.94E-21,9.68689645850991e-8,1.096365128688019e-7,9.023558993801671e-9,-1.54E-08,2.2015613015958617e-7,1.5910442255833845e-8,1.9015489319166652e-19,8.999853228450958e-20,-3.90E-19,9.35260413010912e-6,4.848239597342089e-6,8.483580137067738e-7,9.965869506888279e-6,4.926374837866595e-6,1.6857333491222785e-6,2.0002517799306603e-6,1.0177204468602588e-6,3.47995932712338e-7,9.336693836578942e-6,9.745829764405849e-6,5.811927757353633e-7,9.641815187752706e-6,8.230681669954305e-6,1.1911376275178975e-6,1.8874831232958788e-6,1.5515348587079223e-6,2.692258822772628e-7
I(1/(trace_laplacian + 0.001)),1.2747736424525606,-1.091266106,-0.386457272,72900342.05273852,38674628.047662705,7803615.224596275,15.904210712686869,55.404218415141564,-7.74416315,2.091920747797668,0.7501344642037729,-0.187855982,13.885740330374194,23.64357164376679,26.41698698128097,4.1410577166575004,0.668388585,-1.149052893,5.035074085897124,1.1745247876970668,-0.224538511,28.91008249567699,9.033950253196599,1.5918092010461136,4.539634158910726,3.7923249981922034,-0.997376414,4.439173562079055,4.222167522647683,-0.562179412,21.473178097374117,18.33432202773437,0.096982205
log(log(trace_laplacian + 1) + 1):log(trace_laplacian + 1),0.020537668,0.006716511,0.001346223,-0.019106284,-0.011394785,-0.002415627,0.034612447,0.036349475,0.003948799,0.023498150406087902,0.013020882,6.927026486528009e-4,-0.002147112,-0.001552086,0.001562145,0.012633603035059449,0.006677503,0.005759048,0.008151349,0.006791214,0.003100596,0.001382912,0.003553127,0.002439059,0.012125477754064648,-0.004906714,0.004535854,0.010778368459986773,0.008048186,0.004382238,0.002839972,0.004036713,0.003403555
log(log(trace_laplacian + 1) + 1):trace_laplacian,1.4718585809332343e-4,4.8827854215006806e-5,9.063316053200754e-6,-2.27E-11,-1.57E-11,-3.57E-12,7.717028352521547e-5,9.027052782471735e-5,6.8728156831784875e-6,1.4188535640221087e-4,9.344769840328991e-5,4.518501672754548e-6,-8.65E-11,-6.36E-11,2.5718162268669896e-11,6.608197336993847e-4,3.2154280762567583e-4,8.583957957099554e-5,6.697759052935485e-4,3.3303204021837456e-4,1.1433719358546374e-4,3.0313167719466395e-4,1.5405573709567906e-4,5.4367583303108685e-5,6.565306764166849e-4,5.312917834691793e-4,6.230952999469219e-5,6.631563743139423e-4,5.485408247835277e-4,9.578185470540027e-5,2.85112932774518e-4,2.3707986617865448e-4,4.555834454606747e-5
log(log(trace_laplacian + 1) + 1):I(trace_laplacian^2),-1.13E-08,7.830435371938171e-8,1.6310438741394187e-8,-8.67E-21,-7.42E-21,-1.90E-21,4.574008232044043e-8,5.1820707711534345e-8,4.295410758650276e-9,-3.69E-08,1.0459978125099289e-7,8.043168493409518e-9,7.071009350568474e-20,3.630785109520315e-20,-1.16E-19,5.2472130798585924e-6,2.7424444312898264e-6,4.7059484426220855e-7,5.5919302316842864e-6,2.782082301884859e-6,9.51716792756121e-7,1.044081637964758e-6,5.337652279806561e-7,1.8252762594026027e-7,5.2407949540959265e-6,5.553066644334559e-6,3.2012142251354825e-7,5.414002670501914e-6,4.651038365109199e-6,6.664076933998649e-7,9.85442438947539e-7,8.10359338314216e-7,1.401618745087504e-7
log(log(trace_laplacian + 1) + 1):I(1/(fiedler_value + 0.001)),2.1826960381296308e-4,9.477529914202989e-5,2.0972198483841666e-5,-0.036342791,-0.021650242,-0.015414185,5.697923039819742e-4,5.539956449876555e-4,8.673538800066444e-5,2.725589978133801e-4,1.6087056950407912e-4,1.0830274791242593e-5,-8.05E-05,-6.56E-05,4.1171913988836644e-5,4.292456092181892e-5,4.3263017445362316e-5,7.893885989479564e-5,-2.34E-05,3.772813130386969e-5,2.9163723417793275e-5,-1.77E-04,-2.03E-05,1.8856287600912412e-5,3.3265110523059116e-05,-1.60E-04,6.369891819093184e-5,1.7953578756371596e-5,2.245801770421761e-6,5.240306036665416e-5,-1.21E-04,-7.04E-05,4.2231737621749165e-5
log(log(trace_laplacian + 1) + 1):I(1/(trace_laplacian + 0.001)),1.0339673734619628,-0.777631796,-0.25721981,22984510.264306556,12249539.36840229,2558599.845429549,3.853746276085633,22.696386612998477,-4.150271577,0.7746226603684179,-0.003922059,-0.130157449,7.486087390346262,12.354452635416685,13.46278666310526,2.388528081018799,0.4382419245183168,-0.771722564,3.063245578107421,0.7533194242904377,-0.105715604,15.849061999539252,5.057902861391527,0.8924325743476031,2.598002446474926,2.879008012217477,-0.664664388,2.648461207,2.488498755116987,-0.375258035,12.070538433934498,10.141554622257843,0.02844721
log(trace_laplacian + 1):trace_laplacian,4.4173728469280766e-5,1.507784109964166e-5,2.8310724630429514e-6,-3.27E-12,-2.24E-12,-5.11E-13,2.2514124310590537e-5,2.5866712991547922e-5,1.9368204037162843e-6,4.168843759119997e-5,2.8565919434437377e-5,1.4077991433983165e-6,-1.30E-11,-9.41E-12,4.745159678364319e-12,2.3784604153560842e-4,1.1594540640375746e-4,2.931931891792689e-5,2.4234289844875717e-4,1.2015019074316186e-4,4.1046254444692874e-5,1.0068191850795523e-4,5.111412029713109e-5,1.795828649160089e-5,2.364250221294409e-4,1.9899437345375306e-4,2.1215452092099067e-5,2.393216386453527e-4,1.9932236579308233e-4,3.352329164501024e-5,9.470850188737303e-5,7.863521487982485e-5,1.47927435759815e-5
log(trace_laplacian + 1):I(trace_laplacian^2),-1.16E-08,2.4301391315695833e-8,5.164447717072244e-9,-1.26E-21,-1.07E-21,-2.76E-22,1.3419465474575253e-8,1.5202653066931388e-8,1.2479854749712192e-9,-2.05E-08,3.108459242346619e-8,2.545009101478791e-9,1.2103972959539465e-20,7.083939609291101e-21,-1.46E-20,1.9013504578309415e-6,9.996483879697066e-7,1.6683895394669878e-7,2.027452806565922e-6,1.0131817436434565e-6,3.4700964094316076e-7,3.4563657652660376e-7,1.7724734876577416e-7,6.066508870342847e-8,1.8997052690572634e-6,2.0420006577186116e-6,1.1334812516157674e-7,1.9641618847652824e-6,1.6956196489393795e-6,2.402786675608128e-7,3.264653274456295e-7,2.687102259272656e-7,4.631778871835645e-8
log(trace_laplacian + 1):I(1/(fiedler_value + 0.001)),4.901893399982567e-5,1.6921833460351102e-5,3.539618796541116e-6,-0.00526544,-0.003246784,-0.002329122,8.632043116004186e-5,9.081697507934139e-5,1.139693706746852e-5,5.68406339815892e-5,3.175331183542706e-5,1.8230323983994088e-6,-7.16E-06,-5.40E-06,4.5069504457570526e-6,2.183048538651618e-5,1.2806430605890076e-5,1.4441150128477805e-5,1.0353377272562396e-5,1.2836749671658527e-5,6.62416852484726e-6,-6.80E-06,5.3351909188970516e-6,5.403244745389982e-6,2.0340642648361754e-5,-1.82E-05,1.1543871953090573e-5,1.7502261957741095e-5,1.2695391188060151e-5,1.0291222148672435e-5,-1.14E-06,3.930698198410383e-6,8.129428637410589e-6
log(trace_laplacian + 1):I(1/(trace_laplacian + 0.001)),0.2149080177728333,-0.370243223,-0.111308649,3560417.3783885567,1890691.0706852782,394623.9639398857,-0.623626678,4.5717102036970365,-1.421608451,-0.062185732,-0.218613059,-0.057540111,2.657449440787385,4.0550458953963515,3.7696438351469057,0.8934677604787412,0.182276972,-0.339703373,1.2231721776341344,0.2958481239530994,-0.03621752,5.6783786201548745,1.8463829290467089,0.324152255,0.9685310271142341,1.3736294958867505,-0.291395951,1.0205176441612522,0.9543879104721024,-0.167958387,4.4201585995702315,3.6137227394233618,-0.006414916
trace_laplacian:I(trace_laplacian^2),-1.26E-09,2.475985123901165e-10,6.140821396650451e-11,-1.15E-29,-1.36E-29,-3.86E-30,6.465814253957781e-11,6.354534932445827e-11,6.911437380639866e-12,-1.39E-09,1.2793323552865155e-10,3.01715064529076e-11,3.814470948367964e-27,2.6202509314887802e-27,-1.57E-27,7.23711292517236e-8,4.041981115313464e-8,5.583368959935377e-9,7.825139683507772e-8,4.0205261783012366e-8,1.4060251188550489e-8,6.306213025808444e-9,3.3253743598982676e-9,1.145228687062186e-9,7.254746123057172e-8,8.5889709308186e-8,3.6549414550166695e-9,7.546344507704996e-8,6.695307447485492e-8,9.125537524953748e-9,5.985045002689133e-9,4.9553501022308295e-9,8.558351379798244e-10
trace_laplacian:I(1/(fiedler_value + 0.001)),3.483658928819637e-7,9.835010154755158e-8,1.831399418027001e-8,-6.03E-11,-6.47E-11,-7.62E-11,1.7450470820776497e-7,2.0875010922734842e-7,1.4791818474178291e-8,3.3545431599578896e-7,1.9908384642327833e-7,9.151399836904331e-9,-2.76E-13,-1.97E-13,9.352203065955593e-14,1.089538325783237e-6,5.204691485561223e-7,1.6112613412979268e-7,1.0674268020561328e-6,5.541391988719065e-7,1.8900319342455094e-7,5.351129058181686e-7,2.771034793823664e-7,1.0014149152056455e-7,1.0789326380653278e-6,7.776621510326038e-7,1.1891414415463196e-7,1.0838755465782282e-6,8.980403486941138e-7,1.6909300448277054e-7,5.06756034649123e-7,4.274248385279138e-7,8.470630081978743e-8
trace_laplacian:I(1/(trace_laplacian + 0.001)),-726.4792079,1073.4825893308166,387.4205254,-75871377236,-38954618308,-7687463577,-13784.37509,-50571.0288,7694.668514613748,-1621.358354,-664.2755239,188.39690288173432,-13762.37802,-23380.36887,-25793.89408,-4463.140141,-948.8084314,1141.0678376383526,-5491.949456,-1417.456382,122.07016689979989,-30196.77664,-9732.223516,-1793.469846,-4869.115256,-4379.589953,1003.8132778823821,-4840.249956,-4586.722415,510.8544601,-22685.61425,-19379.0237,-290.5978023
I(trace_laplacian^2):I(1/(fiedler_value + 0.001)),9.322299569316866e-11,1.5700456862947431e-10,3.230099243406029e-11,2.0351932952178472e-20,-5.16E-20,-1.23E-19,1.0839711635531542e-10,1.2474415157568526e-10,8.969220829118995e-12,4.2150955008608824e-11,2.356242314828536e-10,1.596797106559114e-11,1.135019096618861e-22,1.1005727727808994e-22,-4.70E-23,8.9083299445227735e-09,4.577997351266724e-9,8.453367677172383e-10,9.31688111534983e-9,4.704224293463472e-9,1.596595660351074e-9,1.914579813451657e-9,9.812748961170405e-10,3.3815646853825434e-10,8.890079204288037e-9,8.942942293416924e-9,5.842533045949547e-10,9.123517910390923e-9,7.826035205741343e-9,1.154185736012932e-9,1.8091499816927009e-9,1.4933186370211083e-9,2.6095225351077316e-10
I(trace_laplacian^2):I(1/(trace_laplacian + 0.001)),3.386265240607576e-4,9.790518863350775e-5,1.8263916656539927e-5,-7.87E-11,-5.15E-11,-1.10E-11,1.6943042080255546e-4,2.0382910218823472e-4,1.4739421436924113e-5,3.314080182396956e-4,1.988702269831417e-4,9.137612570033161e-6,-2.83E-10,-1.93E-10,1.5831151491685723e-10,0.00106431,5.074492840206158e-4,1.605005529007216e-4,0.001033118,5.39972672795092e-4,1.8414591697131198e-4,5.215792174135966e-4,2.6961095063237045e-4,9.774789420878373e-5,0.001054713,7.363421745085977e-4,1.187998283240171e-4,0.001054872,8.738395088507268e-4,1.6707793831023738e-4,4.938405614278997e-4,4.1718143566771087e-4,8.328260245619567e-5
I(1/(fiedler_value + 0.001)):I(1/(trace_laplacian + 0.001)),9.335655183317116e-4,-0.001065418,-3.86E-04,-106627295.2,-50975437.17,-28696384.47,0.014771783,0.052302366259282626,-0.007668288,0.001712028,6.575926069306684e-4,-1.88E-04,0.014036378914839918,0.023165245209779788,0.023194499590694452,0.004634396,0.001032994,-0.00113504,0.005727008,0.001507869,-9.35E-05,0.030846295918098857,0.010095042839223738,0.001911728,0.005031166,0.004704766,-0.001002292,0.005030178,0.00474446,-4.98E-04,0.023312448,0.019826985,3.5407841043567093e-4
log(log(fiedler_value + 1) + 1),0,0,0,0.003954902,0.008435332,0.006793035,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(fiedler_value + 1),0,0,0,-6.12E-04,0.001030271,8.116493968831245e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiedler_value,0,0,0,-5.28E-09,-1.92E-09,-5.57E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I(fiedler_value^2),0,0,0,2.1731075547612677e-16,-1.50E-16,-1.07E-16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I(1/(fiedler_value + 0.001)),0,0,0,-0.115948521,-0.065606361,-0.046588896,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(log(fiedler_value + 1) + 1):log(fiedler_value + 1),0,0,0,-2.81E-04,3.434710354738756e-4,2.507638672117729e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(log(fiedler_value + 1) + 1):log(log(trace_laplacian + 1) + 1),0,0,0,9.228385631855514e-4,0.002226452,0.002060622,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(log(fiedler_value + 1) + 1):log(trace_laplacian + 1),0,0,0,-1.40E-04,1.464248447419837e-4,2.5437392932358565e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(log(fiedler_value + 1) + 1):fiedler_value,0,0,0,-1.77E-09,-6.54E-10,-2.01E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(log(fiedler_value + 1) + 1):trace_laplacian,0,0,0,-2.02E-11,-1.33E-11,-2.42E-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(log(fiedler_value + 1) + 1):I(fiedler_value^2),0,0,0,9.605399044603363e-17,-4.70E-17,-3.79E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(log(fiedler_value + 1) + 1):I(trace_laplacian^2),0,0,0,-9.33E-21,-7.77E-21,-1.82E-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(log(fiedler_value + 1) + 1):I(1/(fiedler_value + 0.001)),0,0,0,-0.116353976,-0.069056083,-0.051879468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(log(fiedler_value + 1) + 1):I(1/(trace_laplacian + 0.001)),0,0,0,35279501.856518485,20136481.007674716,5191077.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(fiedler_value + 1):log(log(trace_laplacian + 1) + 1),0,0,0,-1.80E-04,3.0455481688390715e-4,2.4804571422073324e-4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(fiedler_value + 1):log(trace_laplacian + 1),0,0,0,-5.14E-05,2.5466106551142295e-5,3.1503808116499926e-5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(fiedler_value + 1):fiedler_value,0,0,0,-2.85E-10,-1.14E-10,-3.74E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(fiedler_value + 1):trace_laplacian,0,0,0,-3.08E-12,-1.99E-12,-3.55E-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(fiedler_value + 1):I(fiedler_value^2),0,0,0,2.222259076827659e-17,-6.95E-18,-6.79E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(fiedler_value + 1):I(trace_laplacian^2),0,0,0,-1.50E-21,-1.29E-21,-3.06E-22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(fiedler_value + 1):I(1/(fiedler_value + 0.001)),0,0,0,-0.064602012,-0.04038396,-0.031871421,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(fiedler_value + 1):I(1/(trace_laplacian + 0.001)),0,0,0,6639774.494734393,4250129.377148763,1123607.2056135419,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(log(trace_laplacian + 1) + 1):fiedler_value,0,0,0,-1.46E-09,-5.24E-10,-1.83E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(log(trace_laplacian + 1) + 1):I(fiedler_value^2),0,0,0,1.0112538256234266e-16,-3.34E-17,-3.42E-17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(trace_laplacian + 1):fiedler_value,0,0,0,-2.17E-10,-7.88E-11,-2.74E-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
log(trace_laplacian + 1):I(fiedler_value^2),0,0,0,1.5451994914731826e-17,-4.61E-18,-5.01E-18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiedler_value:trace_laplacian,0,0,0,-1.39E-18,-1.87E-18,-6.67E-19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiedler_value:I(fiedler_value^2),0,0,0,2.0099601198805066e-22,3.9366734323485526e-23,-1.36E-23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiedler_value:I(trace_laplacian^2),0,0,0,7.957698536621981e-28,-1.13E-27,-5.54E-28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiedler_value:I(1/(fiedler_value + 0.001)),0,0,0,98.18144085043053,65.98720104062222,47.12083777134724,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
fiedler_value:I(1/(trace_laplacian + 0.001)),0,0,0,-7.089676612,7.196495043709023,1.147540339889541,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trace_laplacian:I(fiedler_value^2),0,0,0,5.806054240269801e-25,-3.36E-26,-8.70E-26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I(fiedler_value^2):I(trace_laplacian^2),0,0,0,7.561037735309209e-34,5.815826681966604e-35,-6.64E-35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I(fiedler_value^2):I(1/(fiedler_value + 0.001)),0,0,0,-6.41E-09,-1.97E-09,-5.42E-10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
I(fiedler_value^2):I(1/(trace_laplacian + 0.001)),0,0,0,-6.45E-07,-1.39E-07,-8.80E-08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0